env_dir,stage,run_tag,env_config,trainer_name,optimizer,learning_rate,num_batches,steps_per_batch,batch_size,group_size,lora_config,dataset_path,hide_observations,require_thought,advantage_mode,length_penalty,score_with_base,best_metric,seed,keep_expert_thoughts,infer_thoughts,no_train,n_evals,last_batch,best_batch,best_actiononly_ppl,first_actiononly_ppl,final_actiononly_ppl,eval_n_action_tokens,log_dir
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,1,,2,4,r8_a16_linear,,,,,0.15,,final_reward,42,,,False,0,0,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=1-nt=0-mc=hf_qwen3_4b_base-lc=r8_a16_linear-nie=1-gc=0-nf=0-mspt=2-s=1-lp=0_15-gs=4-bs=2-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,2,,2,4,r8_a16_linear,,,,,0.15,,final_reward,42,,,False,0,1,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=2-nt=0-mc=hf_qwen3_4b_base-lc=r8_a16_linear-nie=1-gc=0-nf=0-mspt=2-s=1-lp=0_15-gs=4-bs=2-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,1,,2,4,r8_a16_linear,,False,,em,0.15,True,final_reward,42,,True,False,0,0,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=1-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-mspt=2-s=1-am=em-swb=1-gs=4-bs=2-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,1,,2,4,r8_a16_linear,,,,,0.15,,final_reward,42,,,False,0,0,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=1-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-mspt=2-s=1-lp=0_15-gs=4-bs=2-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,1,,1,2,r8_a16_linear,,,,,0.15,,final_reward,42,,,False,0,0,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=1-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-nt=1-et=1-mspt=1-mtt=20-omc=600-lp=0_15-gs=2-bs=1-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,1,,2,4,r8_a16_linear,,,,,0.15,,final_reward,42,,,False,0,0,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=1-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-nt=2-et=1-mspt=2-mtt=20-lp=0_15-gs=4-bs=2-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,2,,2,4,r8_a16_linear,,,,,0.15,,final_reward,42,,,False,0,1,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=2-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-mspt=2-s=1-lp=0_15-gs=4-bs=2-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,2,,3,4,r8_a16_linear,,,,,0.15,,final_reward,42,,,False,0,1,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=2-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-nt=6-et=2-mspt=3-mtt=20-omc=800-lp=0_15-gs=4-bs=3-lr=4e_05-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,25,,4,4,r8_a16_linear,./data/snorkel_finance,False,,,0.15,,final_reward,42,,,False,0,19,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-dp=__data_snorkel_finance-nt=32-et=8-mspt=3-mtt=20-omc=1000-lp=0_15-gs=4-bs=4-lr=4e_05-s=42-r=0-vr=0
act_prm_snorkel_finance,other,,act_prm/snorkel_finance,rl,,4e-05,25,,4,4,r8_a16_linear,./data/snorkel_finance,False,,em,0.15,False,final_reward,42,,True,False,0,2,,,,,,act-prm-ia=0-rr=0-ec=act_prm_snorkel_finance-gc=act_prm-tc=pg-rbc=default-nb=25-nt=0-mc=hf_qwen3_4b_instruct-lc=r8_a16_linear-nie=1-gc=0-nf=0-dp=__data_snorkel_finance-nt=32-et=8-mtt=20-lp=0_15-gs=4-bs=4-lr=4e_05-s=42-r=0-vr=0
